Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e210-il-50000
Airfoil,e210-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,9.81227
Max Cl/Cd alpha,3.5
Url,http://airfoiltools.com/polar/csv?polar=xf-e210-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.000,-0.3052,0.11527,0.10870,-0.0306,1.0000,0.2582
-8.750,-0.3015,0.11200,0.10551,-0.0296,1.0000,0.2642
-8.500,-0.3099,0.11068,0.10428,-0.0284,1.0000,0.2742
-8.250,-0.3027,0.10717,0.10083,-0.0270,1.0000,0.2805
-8.000,-0.3227,0.10684,0.10066,-0.0253,1.0000,0.2905
-7.750,-0.3059,0.10282,0.09667,-0.0234,1.0000,0.3015
-7.500,-0.3138,0.10095,0.09492,-0.0214,1.0000,0.3108
-7.250,-0.3359,0.10079,0.09492,-0.0184,1.0000,0.3213
-7.000,-0.3216,0.09718,0.09134,-0.0164,1.0000,0.3318
-6.750,-0.3716,0.09906,0.09350,-0.0117,1.0000,0.3376
-6.500,-0.3454,0.09453,0.08896,-0.0103,1.0000,0.3490
-6.250,-0.3651,0.09355,0.08814,-0.0066,1.0000,0.3561
-6.000,-0.3735,0.09214,0.08683,-0.0034,1.0000,0.3636
-5.750,-0.4007,0.09178,0.08664,0.0011,1.0000,0.3711
-5.500,-0.4854,0.06079,0.05470,-0.0483,1.0000,0.1385
-5.250,-0.4733,0.05716,0.05096,-0.0488,1.0000,0.1349
-5.000,-0.4577,0.05279,0.04625,-0.0513,1.0000,0.1326
-4.750,-0.4375,0.04857,0.04153,-0.0541,1.0000,0.1314
-4.500,-0.4140,0.04478,0.03715,-0.0565,1.0000,0.1299
-4.250,-0.3902,0.04187,0.03369,-0.0580,1.0000,0.1298
-4.000,-0.3672,0.03974,0.03108,-0.0588,1.0000,0.1324
-3.750,-0.3313,0.03785,0.02863,-0.0616,0.9959,0.1399
-3.500,-0.2833,0.03638,0.02676,-0.0657,0.9861,0.1520
-3.250,-0.2412,0.03513,0.02555,-0.0689,0.9762,0.1732
-3.000,-0.2001,0.03392,0.02441,-0.0716,0.9665,0.2157
-2.750,-0.1584,0.03258,0.02393,-0.0746,0.9578,0.3306
-2.500,-0.1315,0.03283,0.02514,-0.0734,0.9471,0.4968
-2.250,-0.1131,0.03356,0.02611,-0.0700,0.9362,0.5942
-2.000,-0.0957,0.03415,0.02675,-0.0666,0.9259,0.6624
-1.750,-0.0761,0.03461,0.02720,-0.0634,0.9167,0.7192
-1.500,-0.0645,0.03478,0.02733,-0.0595,0.9063,0.7646
-1.250,-0.0534,0.03488,0.02736,-0.0558,0.8969,0.8079
-1.000,-0.0343,0.03490,0.02732,-0.0530,0.8887,0.8557
